 Número Guia;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
376;1121011102-Taxa de Autorização de Funcionamento de Transporte;26/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;779,6
377;1910011100-Multas Previstas em Legislação de Trânsito;27/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.205,29
378;1121011102-Taxa de Autorização de Funcionamento de Transporte;27/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;780,7
379;1121011102-Taxa de Autorização de Funcionamento de Transporte;28/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;223,2
380;1910011100-Multas Previstas em Legislação de Trânsito;29/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.436,70
381;1910011100-Multas Previstas em Legislação de Trânsito;29/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.363,38
382;1121011102-Taxa de Autorização de Funcionamento de Transporte;29/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;136,6
383;1910011100-Multas Previstas em Legislação de Trânsito;30/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.436,38
384;1121011102-Taxa de Autorização de Funcionamento de Transporte;30/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;123,6
385;1321001103-Remuneração de Outros Depósitos de Recursos não vinculados;30/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;1.000,00;0;2,75
386;1910011100-Multas Previstas em Legislação de Trânsito;03/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.007,56
387;1910011100-Multas Previstas em Legislação de Trânsito;04/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.219,64
388;1121011102-Taxa de Autorização de Funcionamento de Transporte;04/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;220
389;1910011100-Multas Previstas em Legislação de Trânsito;05/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.751,80
390;1121011102-Taxa de Autorização de Funcionamento de Transporte;05/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;1.416,10
391;1990991100-Outras Receitas - Zona Azul;06/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;70.000,00;0;2.591,20
392;1910011100-Multas Previstas em Legislação de Trânsito;06/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;464,91
393;1121011102-Taxa de Autorização de Funcionamento de Transporte;06/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;600,73
394;1910011100-Multas Previstas em Legislação de Trânsito;09/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.118,09
395;1121011102-Taxa de Autorização de Funcionamento de Transporte;09/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;250,8
396;1910011100-Multas Previstas em Legislação de Trânsito;10/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.465,43
397;1121011102-Taxa de Autorização de Funcionamento de Transporte;10/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;163,6
398;1910011100-Multas Previstas em Legislação de Trânsito;11/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.031,83
399;1121011102-Taxa de Autorização de Funcionamento de Transporte;11/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;343,2
400;1910011100-Multas Previstas em Legislação de Trânsito;12/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.403,20
401;1121011102-Taxa de Autorização de Funcionamento de Transporte;12/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;600
402;1910011100-Multas Previstas em Legislação de Trânsito;13/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;672,92
403;1910011100-Multas Previstas em Legislação de Trânsito;16/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.459,65
404;1121011102-Taxa de Autorização de Funcionamento de Transporte;16/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;147,6
405;1910011100-Multas Previstas em Legislação de Trânsito;17/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;188,7
406;1910011100-Multas Previstas em Legislação de Trânsito;18/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;66,98
407;1121011102-Taxa de Autorização de Funcionamento de Transporte;18/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;250,8
408;1910011100-Multas Previstas em Legislação de Trânsito;19/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;602
409;1121011102-Taxa de Autorização de Funcionamento de Transporte;19/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;271,6
410;1910011100-Multas Previstas em Legislação de Trânsito;20/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;943,87
411;1121011102-Taxa de Autorização de Funcionamento de Transporte;20/11/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;756,8
