 Número Guia;Código;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
332;1910011100;Multas Previstas em Legislação de Trânsito;26/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1617.97
333;1121011102;Taxa de Autorização de Funcionamento de Transporte;26/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;80
334;1121011102;Taxa de Autorização de Funcionamento de Transporte;27/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;208.1
335;1910011100;Multas Previstas em Legislação de Trânsito;27/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;6084.68
336;1910011100;Multas Previstas em Legislação de Trânsito;28/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2404.76
337;1121011102;Taxa de Autorização de Funcionamento de Transporte;28/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;1771.30
338;1121011102;Taxa de Autorização de Funcionamento de Transporte;29/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;1977.20
339;1910011100;Multas Previstas em Legislação de Trânsito;29/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;469.02
340;1910011100;Multas Previstas em Legislação de Trânsito;30/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1827.48
341;1121011102;Taxa de Autorização de Funcionamento de Transporte;30/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;542.6
342;1321001103;Remuneração de Outros Depósitos de Recursos não vinculados;30/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;10000.00;0;9.02
343;1910011100;Multas Previstas em Legislação de Trânsito;02/09/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;3143.69
344;1121011102;Taxa de Autorização de Funcionamento de Transporte;02/09/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;163.6
345;1910011100;Multas Previstas em Legislação de Trânsito;03/09/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2790.59
346;1121011102;Taxa de Autorização de Funcionamento de Transporte;03/09/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;430
347;1910011100;Multas Previstas em Legislação de Trânsito;04/09/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;5575.52
348;1121011102;Taxa de Autorização de Funcionamento de Transporte;04/09/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;4608.10
349;1910011100;Multas Previstas em Legislação de Trânsito;05/09/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;3130.34
